"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"666","Myrmotherula_luctuosa","Thamnophilidae","Passeriformes","Myrmotherula_luctuosa",15,9.3,3.3,3.5,15.9,52.1,7.8,46.1,14.6,36.8,8.5,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-23.1,-6.24,-17.39,-40.24,247649.4,"Extant"
"667","Myrmotherula_menetriesii","Thamnophilidae","Passeriformes","Myrmotherula_menetriesii",15.6,9.8,3.7,3.5,16.1,52.3,7.6,45.7,14.4,29.8,8.6,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-17.83,8.35,-3.5,-62.91,6331647.42,"Extant"
"668","Myrmotherula_minor","Thamnophilidae","Passeriformes","Myrmotherula_minor",12.7,7.7,3.1,3.4,15.4,47.9,5,43.5,10.4,29.1,6.4,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-26.31,-16.81,-22.98,-44.63,4980.73,"Extant"
"669","Myrmotherula_multostriata","Thamnophilidae","Passeriformes","Myrmotherula_multostriata",14,8.4,3.2,3,15.2,46.9,4.8,42.6,9.8,23,8,"Shrubland",2,1,"Carnivore","Invertivore","Insessorial",-15.28,5.97,-6.12,-62.96,4644153.98,"Extant"
"670","Myrmotherula_pacifica","Thamnophilidae","Passeriformes","Myrmotherula_pacifica",15.3,9.7,3.6,3.2,17.5,50.6,5.4,46.1,10.7,28,10.1,"Shrubland",2,1,"Carnivore","Invertivore","Insessorial",-2.81,9.62,5.75,-76.77,236644.01,"Extant"
"671","Myrmotherula_schisticolor","Thamnophilidae","Passeriformes","Myrmotherula_schisticolor",15.5,8.2,3.3,3.4,15.6,54.9,7.3,48.7,13.4,36.9,9.6,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-13.9,17.22,4.8,-78.01,534175.27,"Extant"
"672","Myrmotherula_sclateri","Thamnophilidae","Passeriformes","Myrmotherula_sclateri",14.9,9.2,3.2,3.1,16.4,44.3,6,39.8,13.2,22,8.4,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-14.98,-1.76,-7.99,-62.24,2651999.98,"Extant"
"673","Myrmotherula_snowi","Thamnophilidae","Passeriformes","Myrmotherula_snowi",13.9,9.1,3.5,3.8,14.2,51.3,6,46.8,11.4,32.6,9.6,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-9.28,-9.13,-9.2,-35.9,197.95,"Extant"
"674","Myrmotherula_sunensis","Thamnophilidae","Passeriformes","Myrmotherula_sunensis",12.5,8,3.3,3.4,15,52.2,7.9,45.8,14.8,26.4,9.4,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-10.57,3.21,-2.11,-74.62,178742.4,"Extant"
"675","Myrmotherula_surinamensis","Thamnophilidae","Passeriformes","Myrmotherula_surinamensis",15.2,9.2,3.4,3.1,16.9,49.1,6,43.9,12.1,23.8,8.3,"Shrubland",1,1,"Carnivore","Invertivore","Insessorial",-2.46,9.05,3.75,-59.91,1277565.14,"Extant"
"676","Myrmotherula_unicolor","Thamnophilidae","Passeriformes","Myrmotherula_unicolor",12.4,7.7,3,3.1,15.8,48.2,6.2,43.7,12.9,35.6,11.5,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-29.87,-22.15,-25.56,-47.48,69111.62,"Extant"
